CUSTOMERNAME,Total_Revenue,Order_Frequency,Total_Units_Ordered,Cluster_Tier,BD_Priority_Tier
"AV Stores, Co.",157807.81,3,1778,2,Tier 1: Focus 80% (High-Value ICP)
Alpha Cognac,70488.44,3,687,0,Tier 2: Focus 15% (Nurture/Upsell)
Amica Models & Co.,94117.26,2,843,0,Tier 2: Focus 15% (Nurture/Upsell)
"Anna's Decorations, Ltd",153996.13,4,1469,2,Tier 1: Focus 80% (High-Value ICP)
Atelier graphique,24179.96,3,270,0,Tier 2: Focus 15% (Nurture/Upsell)
"Australian Collectables, Ltd",64591.46,3,705,0,Tier 2: Focus 15% (Nurture/Upsell)
"Australian Collectors, Co.",200995.41,5,1926,2,Tier 1: Focus 80% (High-Value ICP)
"Australian Gift Network, Co",59469.12,3,545,0,Tier 2: Focus 15% (Nurture/Upsell)
Auto Assoc. & Cie.,64834.32,2,637,0,Tier 2: Focus 15% (Nurture/Upsell)
Auto Canal Petit,93170.66,3,1001,0,Tier 2: Focus 15% (Nurture/Upsell)
Auto-Moto Classics Inc.,26479.26,3,287,0,Tier 2: Focus 15% (Nurture/Upsell)
Baane Mini Imports,116599.19,4,1082,2,Tier 1: Focus 80% (High-Value ICP)
"Bavarian Collectables Imports, Co.",34993.92,1,401,0,Tier 2: Focus 15% (Nurture/Upsell)
"Blauer See Auto, Co.",85171.59,4,811,0,Tier 2: Focus 15% (Nurture/Upsell)
Boards & Toys Co.,9129.35,2,102,0,Tier 2: Focus 15% (Nurture/Upsell)
CAF Imports,49642.05,2,468,0,Tier 2: Focus 15% (Nurture/Upsell)
Cambridge Collectables Co.,36163.62,2,357,0,Tier 2: Focus 15% (Nurture/Upsell)
Canadian Gift Exchange Network,75238.92,2,703,0,Tier 2: Focus 15% (Nurture/Upsell)
"Classic Gift Ideas, Inc",67506.97,2,668,0,Tier 2: Focus 15% (Nurture/Upsell)
Classic Legends Inc.,77795.2,3,720,0,Tier 2: Focus 15% (Nurture/Upsell)
"Clover Collections, Co.",57756.43,2,490,0,Tier 2: Focus 15% (Nurture/Upsell)
Collectable Mini Designs Co.,87489.23,2,954,0,Tier 2: Focus 15% (Nurture/Upsell)
Collectables For Less Inc.,81577.98,3,795,0,Tier 2: Focus 15% (Nurture/Upsell)
Corporate Gift Ideas Co.,149882.5,4,1447,2,Tier 1: Focus 80% (High-Value ICP)
"Corrida Auto Replicas, Ltd",120615.28,3,1163,2,Tier 1: Focus 80% (High-Value ICP)
Cruz & Sons Co.,94015.73,3,961,0,Tier 2: Focus 15% (Nurture/Upsell)
Daedalus Designs Imports,69052.41,2,699,0,Tier 2: Focus 15% (Nurture/Upsell)
Danish Wholesale Imports,145041.6,5,1315,2,Tier 1: Focus 80% (High-Value ICP)
Diecast Classics Inc.,122138.14,4,1111,2,Tier 1: Focus 80% (High-Value ICP)
Diecast Collectables,70859.78,2,695,0,Tier 2: Focus 15% (Nurture/Upsell)
"Double Decker Gift Stores, Ltd",36019.04,2,357,0,Tier 2: Focus 15% (Nurture/Upsell)
"Dragon Souveniers, Ltd.",172989.68,5,1524,2,Tier 1: Focus 80% (High-Value ICP)
Enaco Distributors,78411.86,3,882,0,Tier 2: Focus 15% (Nurture/Upsell)
Euro Shopping Channel,912294.11,26,9327,1,Tier 3: Focus 5% (Monitor for Growth)
FunGiftIdeas.com,98923.73,3,903,0,Tier 2: Focus 15% (Nurture/Upsell)
Gift Depot Inc.,101894.79,3,903,0,Tier 2: Focus 15% (Nurture/Upsell)
Gift Ideas Corp.,57294.42,3,666,0,Tier 2: Focus 15% (Nurture/Upsell)
Gifts4AllAges.com,83209.88,3,933,0,Tier 2: Focus 15% (Nurture/Upsell)
Handji Gifts& Co,115498.73,4,1236,2,Tier 1: Focus 80% (High-Value ICP)
Heintze Collectables,100595.55,2,882,0,Tier 2: Focus 15% (Nurture/Upsell)
Herkku Gifts,111640.28,3,973,0,Tier 2: Focus 15% (Nurture/Upsell)
"Iberia Gift Imports, Corp.",54723.62,2,589,0,Tier 2: Focus 15% (Nurture/Upsell)
L'ordine Souveniers,142601.33,3,1280,2,Tier 1: Focus 80% (High-Value ICP)
"La Corne D'abondance, Co.",97203.68,3,836,0,Tier 2: Focus 15% (Nurture/Upsell)
La Rochelle Gifts,180124.9,4,1832,2,Tier 1: Focus 80% (High-Value ICP)
Land of Toys Inc.,164069.44,4,1631,2,Tier 1: Focus 80% (High-Value ICP)
Lyon Souveniers,78570.34,3,684,0,Tier 2: Focus 15% (Nurture/Upsell)
Marseille Mini Autos,74936.14,3,804,0,Tier 2: Focus 15% (Nurture/Upsell)
Marta's Replicas Co.,103080.38,2,976,0,Tier 2: Focus 15% (Nurture/Upsell)
"Men 'R' US Retailers, Ltd.",48048.46,2,500,0,Tier 2: Focus 15% (Nurture/Upsell)
Microscale Inc.,33144.93,2,381,0,Tier 2: Focus 15% (Nurture/Upsell)
Mini Auto Werke,52263.9,3,532,0,Tier 2: Focus 15% (Nurture/Upsell)
Mini Caravy,80438.48,3,779,0,Tier 2: Focus 15% (Nurture/Upsell)
Mini Classics,85555.99,2,929,0,Tier 2: Focus 15% (Nurture/Upsell)
Mini Creations Ltd.,108951.13,3,1140,0,Tier 2: Focus 15% (Nurture/Upsell)
Mini Gifts Distributors Ltd.,654858.06,17,6366,1,Tier 3: Focus 5% (Monitor for Growth)
Mini Wheels Co.,74476.18,3,692,0,Tier 2: Focus 15% (Nurture/Upsell)
Motor Mint Distributors Inc.,83682.16,3,730,0,Tier 2: Focus 15% (Nurture/Upsell)
Muscle Machine Inc,197736.94,4,1775,2,Tier 1: Focus 80% (High-Value ICP)
"Norway Gifts By Mail, Co.",79224.23,2,787,0,Tier 2: Focus 15% (Nurture/Upsell)
Online Diecast Creations Co.,131685.3,3,1248,2,Tier 1: Focus 80% (High-Value ICP)
Online Mini Collectables,57197.96,2,572,0,Tier 2: Focus 15% (Nurture/Upsell)
Osaka Souveniers Co.,67605.07,2,692,0,Tier 2: Focus 15% (Nurture/Upsell)
"Oulu Toy Supplies, Inc.",104370.38,3,1110,0,Tier 2: Focus 15% (Nurture/Upsell)
Petit Auto,74972.52,3,796,0,Tier 2: Focus 15% (Nurture/Upsell)
Quebec Home Shopping Network,74204.79,3,717,0,Tier 2: Focus 15% (Nurture/Upsell)
Reims Collectables,135042.94,5,1433,2,Tier 1: Focus 80% (High-Value ICP)
Rovelli Gifts,137955.72,3,1650,2,Tier 1: Focus 80% (High-Value ICP)
"Royal Canadian Collectables, Ltd.",74634.85,2,873,0,Tier 2: Focus 15% (Nurture/Upsell)
Royale Belge,33440.1,4,278,0,Tier 2: Focus 15% (Nurture/Upsell)
Salzburg Collectables,149798.63,4,1442,2,Tier 1: Focus 80% (High-Value ICP)
"Saveley & Henriot, Co.",142874.25,3,1428,2,Tier 1: Focus 80% (High-Value ICP)
Scandinavian Gift Ideas,134259.33,3,1359,2,Tier 1: Focus 80% (High-Value ICP)
Signal Collectibles Ltd.,50218.51,2,514,0,Tier 2: Focus 15% (Nurture/Upsell)
Signal Gift Stores,82751.08,3,929,0,Tier 2: Focus 15% (Nurture/Upsell)
Souveniers And Things Co.,151570.98,4,1601,2,Tier 1: Focus 80% (High-Value ICP)
"Stylish Desk Decors, Co.",88804.5,3,937,0,Tier 2: Focus 15% (Nurture/Upsell)
Suominen Souveniers,113961.15,3,1031,0,Tier 2: Focus 15% (Nurture/Upsell)
